match_no,Team,Opposite
1,Chennai Super Kings,Gujarat Titans
2,Gujarat Titans,Chennai Super Kings
3,Punjab Kings,Kolkata  Knight Riders
4,Kolkata Knight Riders,Punjab Kings
5,Lucknow Super Giants,Delhi Capitals
6,Delhi Capitals,Lucknow Super Giants
7,Rajasthan Royals,Sunrisers Hyderabad
8,Sunrisers Hyderabad,Rajasthan Royals
9,Mumbai Indians,Royal Challengers Bangalore
10,Royal Challengers Bangalore,Mumbai Indians
11,Chennai Super Kings,Lucknow Super Giants
12,Lucknow Super Giants,Chennai Super Kings
13,Delhi Capitals,Gujarat Titans
14,Gujarat Titans,Delhi Capitals
15,Punjab Kings,Rajasthan Royals
16,Rajasthan Royals,Punjab Kings
17,Kolkata Knight Riders,Royal Challengers Bangalore
18,Royal Challengers Bangalore,Kolkata Knight Riders
19,Sunrisers Hyderabad,Lucknow Super Giants
20,Lucknow Super Giants,Sunrisers Hyderabad
21,Rajasthan Royals,Delhi Capitals
22,Delhi Capitals,Rajasthan Royals
23,Mumbai Indians,Chennai Super Kings
24,Chennai Super Kings,Mumbai Indians
25,Gujarat Titans,Kolkata Knight Riders
26,Kolkata Knight Riders,Gujarat Titans
27,Punjab Kings,Sunrisers Hyderabad
28,Sunrisers Hyderabad,Punjab Kings
29,Royal Challengers Bangalore,Lucknow Super Giants
30,Lucknow Super Giants,Royal Challengers Bangalore
31,Mumbai Indians,Delhi Capitals
32,Delhi Capitals,Mumbai Indians
33,Rajasthan Royals,Chennai Super Kings
34,Chennai Super Kings,Rajasthan Royals
35,Punjab Kings,Gujarat Titans
36,Gujarat Titans,Punjab Kings
37,Sunrisers Hyderabad,Kolkata Knight Riders
38,Kolkata Knight Riders,Sunrisers Hyderabad
39,Royal Challengers Bangalore,Delhi Capitals
40,Delhi Capitals,Royal Challengers Bangalore
41,Lucknow Super Giants,Punjab Kings
42,Punjab Kings,Lucknow Super Giants
43,Kolkata Knight Riders,Mumbai Indians
44,Mumbai Indians,Kolkata Knight Riders
45,Gujarat Titans,Rajasthan Royals
46,Rajasthan Royals,Gujarat Titans
47,Chennai Super Kings,Royal Challengers Bangalore
48,Royal Challengers Bangalore,Chennai Super Kings
49,Mumbai Indians,Sunrisers Hyderabad
50,Sunrisers Hyderabad,Mumbai Indians
51,Lucknow Super Giants,Rajasthan Royals
52,Rajasthan Royals,Lucknow Super Giants
53,Royal Challengers Bangalore,Punjab Kings
54,Punjab Kings,Royal Challengers Bangalore
55,Kolkata Knight Riders,Delhi Capitals
56,Kolkata Knight Riders,Kolkata Knight Riders
57,Delhi Capitals,Kolkata Knight Riders
58,Sunrisers Hyderabad,Chennai Super Kings
59,Chennai Super Kings,Sunrisers Hyderabad
60,Gujarat Titans,Lucknow Super Giants
61,Lucknow Super Giants,Gujarat Titans
62,Punjab Kings,Mumbai Indians
63,Mumbai Indians,Punjab Kings
64,Royal Challengers Bangalore,Rajasthan Royals
65,Rajasthan Royals,Royal Challengers Bangalore
66,Chennai Super Kings,Kolkata Knight Riders
67,Kolkata Knight Riders,Chennai Super Kings
68,Delhi Capitals,Sunrisers Hyderabad
69,Sunrisers Hyderabad,Delhi Capitals
70,Gujarat Titans,Mumbai Indians
71,Mumbai Indians,Gujarat Titans
72,Chennai Super Kings,Punjab Kings
73,Punjab Kings,Chennai Super Kings
74,Rajasthan Royals,Mumbai Indians
75,Mumbai Indians,Rajasthan Royals
76,Mumbai Indians,Lucknow Super Giants
77,Punjab Kings,Kolkata Knight Riders
78,Chennai Super Kings,Delhi Capitals
79,Delhi Capitals,Chennai Super Kings
80,Kolkata Knight Riders,Rajasthan Royals
81,Rajasthan Royals,Kolkata Knight Riders
82,Punjab Kings,Delhi Capitals
83,Delhi Capitals,Punjab Kings
84,Gujarat Titans,Sunrisers Hyderabad
85,Sunrisers Hyderabad,Gujarat Titans
86,Lucknow Super Giants,Mumbai Indians
87,Sunrisers Hyderabad,Royal Challengers Bangalore
88,Royal Challengers Bangalore,Sunrisers Hyderabad
89,Lucknow Super Giants,Kolkata Knight Riders
90,Kolkata Knight Riders,Lucknow Super Giants
91,Royal Challengers Bangalore,Gujarat Titans
92,Gujarat Titans,Royal Challengers Bangalore
